Month,Part_Code,Inv_data,Value,Brand
Jun-24,FM 1035-020 ,Bal Qty,0,Sheet1
Jul-24,FM 1035-020 ,Pur Qty,0,Sheet1
Jul-24,FM 1035-020 ,Sal Qty,0,Sheet1
Jul-24,FM 1035-020 ,Bal Qty,0,Sheet1
Aug-24,FM 1035-020 ,Pur Qty,0,Sheet1
Aug-24,FM 1035-020 ,Sal Qty,0,Sheet1
Aug-24,FM 1035-020 ,Bal Qty,0,Sheet1
Sep-24,FM 1035-020 ,Pur Qty,0,Sheet1
Sep-24,FM 1035-020 ,Sal Qty,0,Sheet1
Sep-24,FM 1035-020 ,Bal Qty,0,Sheet1
Oct-24,FM 1035-020 ,Pur Qty,0,Sheet1
Oct-24,FM 1035-020 ,Sal Qty,0,Sheet1
Oct-24,FM 1035-020 ,Bal Qty,0,Sheet1
Nov-24,FM 1035-020 ,Pur Qty,0,Sheet1
Nov-24,FM 1035-020 ,Sal Qty,0,Sheet1
Nov-24,FM 1035-020 ,Bal Qty,0,Sheet1
Dec-24,FM 1035-020 ,Pur Qty,0,Sheet1
Dec-24,FM 1035-020 ,Sal Qty,0,Sheet1
Dec-24,FM 1035-020 ,Bal Qty,0,Sheet1
Jan-25,FM 1035-020 ,Pur Qty,0,Sheet1
Jan-25,FM 1035-020 ,Sal Qty,0,Sheet1
Jan-25,FM 1035-020 ,Bal Qty,0,Sheet1
Feb-25,FM 1035-020 ,Pur Qty,0,Sheet1
Feb-25,FM 1035-020 ,Sal Qty,0,Sheet1
Feb-25,FM 1035-020 ,Bal Qty,0,Sheet1
Mar-25,FM 1035-020 ,Pur Qty,0,Sheet1
Mar-25,FM 1035-020 ,Sal Qty,0,Sheet1
Mar-25,FM 1035-020 ,Bal Qty,0,Sheet1
Apr-25,FM 1035-020 ,Pur Qty,0,Sheet1
Apr-25,FM 1035-020 ,Sal Qty,0,Sheet1
Apr-25,FM 1035-020 ,Bal Qty,0,Sheet1
May-25,FM 1035-020 ,Pur Qty,0,Sheet1
May-25,FM 1035-020 ,Sal Qty,0,Sheet1
May-25,FM 1035-020 ,Bal Qty,0,Sheet1
Jun-25,FM 1035-020 ,Pur Qty,0,Sheet1
Jun-25,FM 1035-020 ,Sal Qty,0,Sheet1
Jun-25,FM 1035-020 ,Bal Qty,0,Sheet1
Jun-24,FM 1035-STD ,Opn Qty,1,Sheet1
Jun-24,FM 1035-STD ,Pur Qty,0,Sheet1
Jun-24,FM 1035-STD ,Sal Qty,0,Sheet1
Jun-24,FM 1035-STD ,Bal Qty,1,Sheet1
Jul-24,FM 1035-STD ,Pur Qty,0,Sheet1
Jul-24,FM 1035-STD ,Sal Qty,0,Sheet1
Jul-24,FM 1035-STD ,Bal Qty,1,Sheet1
Aug-24,FM 1035-STD ,Pur Qty,0,Sheet1
Aug-24,FM 1035-STD ,Sal Qty,0,Sheet1
Aug-24,FM 1035-STD ,Bal Qty,1,Sheet1
Sep-24,FM 1035-STD ,Pur Qty,0,Sheet1
Sep-24,FM 1035-STD ,Sal Qty,0,Sheet1
Sep-24,FM 1035-STD ,Bal Qty,1,Sheet1
Oct-24,FM 1035-STD ,Pur Qty,0,Sheet1
Oct-24,FM 1035-STD ,Sal Qty,0,Sheet1
Oct-24,FM 1035-STD ,Bal Qty,1,Sheet1
Nov-24,FM 1035-STD ,Pur Qty,0,Sheet1
Nov-24,FM 1035-STD ,Sal Qty,0,Sheet1
Nov-24,FM 1035-STD ,Bal Qty,1,Sheet1
Dec-24,FM 1035-STD ,Pur Qty,0,Sheet1
Dec-24,FM 1035-STD ,Sal Qty,0,Sheet1
Dec-24,FM 1035-STD ,Bal Qty,1,Sheet1
Jan-25,FM 1035-STD ,Pur Qty,0,Sheet1
Jan-25,FM 1035-STD ,Sal Qty,0,Sheet1
Jan-25,FM 1035-STD ,Bal Qty,1,Sheet1
Feb-25,FM 1035-STD ,Pur Qty,0,Sheet1
Feb-25,FM 1035-STD ,Sal Qty,0,Sheet1
Feb-25,FM 1035-STD ,Bal Qty,1,Sheet1
Mar-25,FM 1035-STD ,Pur Qty,0,Sheet1
Mar-25,FM 1035-STD ,Sal Qty,0,Sheet1
Mar-25,FM 1035-STD ,Bal Qty,1,Sheet1
Apr-25,FM 1035-STD ,Pur Qty,0,Sheet1
Apr-25,FM 1035-STD ,Sal Qty,0,Sheet1
Apr-25,FM 1035-STD ,Bal Qty,1,Sheet1
May-25,FM 1035-STD ,Pur Qty,0,Sheet1
May-25,FM 1035-STD ,Sal Qty,0,Sheet1
May-25,FM 1035-STD ,Bal Qty,1,Sheet1
Jun-25,FM 1035-STD ,Pur Qty,0,Sheet1
Jun-25,FM 1035-STD ,Sal Qty,0,Sheet1
Jun-25,FM 1035-STD ,Bal Qty,1,Sheet1
Jun-24,FM 10426-75 ,Opn Qty,1,Sheet1
Jun-24,FM 10426-75 ,Pur Qty,0,Sheet1
Jun-24,FM 10426-75 ,Sal Qty,0,Sheet1
Jun-24,FM 10426-75 ,Bal Qty,0,Sheet1
