Seq No,Itm Code,Function Description,Opn Qty,Pur Qty 01,Sal Qty 01,Bal Qty 01,Pur Qty 02,Sal Qty 02,Bal Qty 02,Pur Qty 03,Sal Qty 03,Bal Qty 03,Pur Qty 04,Sal Qty 04,Bal Qty 04,Pur Qty 05,Sal Qty 05,Bal Qty 05,Pur Qty 06,Sal Qty 06,Bal Qty 06,Pur Qty 07,Sal Qty 07,Bal Qty 07,Pur Qty 08,Sal Qty 08,Bal Qty 08,Pur Qty 09,Sal Qty 09,Bal Qty 09,Pur Qty 10,Sal Qty 10,Bal Qty 10,Pur Qty 11,Sal Qty 11,Bal Qty 11,Pur Qty 12,Sal Qty 12,Bal Qty 12
104,GAB63959 ,SHOCK ABSORBER,0,10,0,10,0,2,8,0,0,8,0,0,8,0,0,8,0,2,6,0,2,4,0,0,4,0,0,4,0,2,2,0,0,2,0,0,2
105,GAB63965 ,SHOCK ABSORBER,4,4,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,0,2,6,0,0,6,0,0,6,0,2,4
106,GAB64000 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,4
107,GAB64001 ,SHOCK ABSORBER,0,6,0,6,0,0,6,0,0,6,9,2,13,0,2,11,0,0,11,0,0,11,0,0,11,0,2,9,7,2,14,0,2,12,0,0,12
108,GAB64012 ,SHOCK ABSORBER,0,4,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4,0,0,4
109,GAB64016 ,SHOCK ABSORBER,0,6,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,2,4,0,0,4,0,0,4,0,2,2,0,0,2
110,GAB64037 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,GAB64040 ,SHOCK ABSORBER,0,20,0,20,0,0,20,0,4,16,0,0,16,0,1,15,0,2,13,0,0,13,0,0,13,0,5,8,15,2,21,0,4,17,0,2,15
112,GAB64101 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,GAB64107 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,GAB64111 ,SHOCK ABSORBER,15,0,0,15,0,2,13,0,0,13,0,0,13,0,0,13,0,0,13,0,0,13,0,0,13,0,3,10,0,0,10,0,0,10,0,0,10
115,GAB64121 ,SHOCK ABSORBER,6,0,0,6,0,2,4,0,0,4,0,0,4,0,0,4,0,0,4,0,2,2,0,2,0,0,0,0,4,0,4,0,0,4,0,0,4
116,GAB64148 ,SHOCK ABSORBER,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,GAB64149 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,GAB64221 ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,GAB6583SE ,SHOCK ABSORBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,GAB6853SE ,SHOCK ABSORBER,6,0,0,6,0,3,3,0,0,3,0,1,2,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,20,0,20,0,5,15,0,3,12
121,GAB69575 ,SHOCK ABSORBER,21,150,16,155,0,34,121,0,20,101,150,39,212,0,36,176,0,22,154,0,22,130,0,12,118,0,21,97,200,10,287,0,15,272,0,11,261
122,GAB69622 ,SHOCK ABSORBER,0,4,0,4,0,0,4,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,4
123,GAB69624 ,SHOCK ABSORBER,0,10,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0
124,GAB69675 ,SHOCK ABSORBER,62,120,36,146,0,6,140,0,10,130,0,22,108,0,0,108,0,34,74,0,44,30,0,30,0,0,0,0,150,12,138,0,16,122,0,16,106
